Course Code,Course Name,L,T,P,C,Instructor,,Number of Students,Sections,Lecture,Tutorial,Lab,,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
ES 245,Control Systems,3,1.5,0,4,"Nithin George(I+T),S. Rajendran (T)",,,,"D1,D2
(10/102)","B2
(10/102,10/101)",,,,,AI/Robotics,
ME 209,Principles of Manufacturing Processes,3,0,0,3,"Madhu Vadali(I+T+L),Prof. Ramakrishnan(I+T+L)",,,,"H1,H2
(1/101)",,,,,,,
ES 301,Data Structures and Algorithms II,3,1,0,4,Bireswar Das(I+T),,,,"N1,N2
(10/103)","M1
(10/103)",,,,,,
CE 302,Structural Analysis,3,1,0,4,Manish Kumar(I+T),,,,"B1,B2
(7/101)","H1
(7/106)",,Course Plan,,,,
ES 321,Dynamics and Vibrations,3,1,0,4,Vineet Vashista(I+T),,,,"A1,A2
(10/101)","M2
(10/201)",,,,,Robotics,
PE 104,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 103,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
6th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
CL 321,Separation Processes,3,1.5,0,4,Karthik Subramaniam(I+T),,,,"E1,E2
(7/102)","H1
(7/102)",,,,,,
CL 352,Mass Transfer and Reaction Engineering Lab,0,0,3,2,Abinaya Sampath(L),,,,,,"I1,K1
(CL Lab)",,,,,
CL 422,Process Control,3,1,0,4,Nitin Padhiyar(I+T),,,,"C1,C2
(7/102)","G2
(7/107)",,https://docs.google.com/spreadsheets/d/1zF5Qzql2TXpUbqiD1YRSa1bqgPWyTBM9F6yEkens_J8/edit#gid=0,,,,
CL 424,Process Analysis and Simulation,1,1,3,3,Sameer Dalvi(I+T+L),,,,"D1,D2
(7/102)",,"J1,L1
(7/108)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HS Elective,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
CE 304,Concrete Design,3,1,0,4,Gaurav Srivastava(I+T),,,,"E1,E2
(7/101)","H1
(7/206)",,Course website,,,,
CE 305,"Steel Design
(First Half of the Semester)",2,1,0,2,Dhiman Basu(I+T),,,,"C1,C2
(7/207)",,,2023-24_CE305_Ouline and Policy.pdf,,,,
CE 306,Civil Engineering Materials Lab,0,0,3,2,TBD,,,,,,"I2,M1
(CE Lab)",,,,,
CE 307,"Masonry Design
(Second Half of the Semester)",2,1,0,2,TBD,,,,"D1,D2
(7/201)",,,,,,,
CE 309,Field Survey project,0,0,0,2,Vimal Mishra(I),,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
CE 402,Geotechnical Engineering,2,1,2,4,Ajanta Sachan(I+T+L),,,,"F2
(7/206)","G1 
(7/107)","I1,K1
(CE Lab)",Course Plan_CE 402,,,,
CE 403,Construction Technology & Management,3,1,0,4,TBD,,,,"E1,E2
(7/210)","H1
(7/207)",,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6th Sem | B Tech Computer Science and Engineering,,,,,,,,,,,,,,,,,
CS 327,Compilers,3,0,1.5,5,Abhishek Bichawat(I+L),,,,"E1,E2
(7/208)",,"I1
(7/108)",,,,,
