Course Code,Course Name,L,T,P,C,Instructor,,Number of Students,Sections,Lecture,Tutorial,Lab,,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
HS 491-VIII,Special Topics in HSS: Challenges in the Digital Society,3,0,0,4,Nuno Guimaraes(I),,,,"M1,M2
(1/102)",,,Course Plan (updated 12.12.2023),,,,Counted towards HSS Elective and Minor
HS 492-III,"Special Topics in HSS: Anthropology in the 21st Century
(Second Half of the Semester)",3,0,0,2,Rosa Maria Perez(I),,,,"N1,N2
(7/207)",,,"Anthropology in the 21st Century. Course description 2024, 2nd sem",,,,Counted towards HSS Elective and Minor
HS 507,"Humanism, Anti-humanism, and Posthumanism",3,0,0,4,Angus McBlane(I),,,,"J1,J2
(7/110)",,,Course Plan,,Begins week of Jan 08,,Counted towards HSS Elective and Minor
HS 513,Perspectives in History,3,0,0,4,Madhumita Sengupta(I),,,,"L1,L2
(7/203)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/madhumitasg_iitgn_ac_in/ESBBHa8AwqZJjFkMQwtsk0gBU2sgI7qPcDX0jyguZwKmcg?e=MZ4K5D,,,,Counted towards HSS Elective and Minor
HS 514,Sociology of Tourism,3,0,0,4,Ambika Aiyadurai(I),,,,"B1,B2
(7/103)",,,Course Plan HS 514,,,,Counted towards HSS Elective and Minor
HS 515,The Politics of the Environment,3,0,0,4,Ambika Aiyadurai(I),,,,"C1,C2
(7/107)",,,Course Plan HS 515,,,,Counted towards HSS Elective and Minor
HS 518,"Philosophy, Cognition and Psychoanalysis",3,0,0,4,Arka Chattopadhyay(I),,,,"I1,I2
(7/110)",,,"HS 518 Philosophy, Cognition and Psychoanalysis.pdf","Some interest in Freud, Lacan and Neuro-cognitive philosophy",,,Counted towards HSS Elective and Minor
HS 521,Development Economics,3,0,0,4,Deepak Singhania(I),,,,"E1,E2
(7/205)",,,https://drive.google.com/file/d/10iZFxWBlwNSTOqQnBHwof29YDN7Qvd-0/view?usp=sharing,,,,Counted towards HSS Elective and Minor
HS 523,Quantitative Research Methods in Social Sciences,3,1,0,4,Deepak Singhania(I),,,,"D1,D2
(7/110)","M2
(7/109)",,https://drive.google.com/file/d/11Bekj1de1KYFFgbBxNRcKgAqYEi5c_x_/view?usp=sharing,,,,Counted towards HSS Elective and Minor
HS 631,Digital Cultures and New Media,3,0,0,4,Arnapurna Rath(I),,,,"N1,N2
(7/204)",,,,,,,Counted towards HSS Elective and Minor
HS 635,India through the Writer's Eye,3,0,0,4,Sharmita Lahiri(I),,,,"M1,M2
(7/207)",,,,,,,Counted towards HSS Elective and Minor
HS 327,"Anthropology, Citizenship and Human Rights",3,0,0,4,Rosa Maria Perez(I),,,,"M1,M2
(7/208)",,,,,,,Counted towards HSS Elective and Minor
HS 642,Structures and Hydrology in Ancient India,3,0,0,4,Alok Kumar Kanungo(I),,,,"J1,J2
(7/102)",,,,,,,Counted towards HSS Elective and Minor
HS 647,"Literature, Theory and Social Context",3,0,0,4,Arka Chattopadhyay(I),,,,"B1,B2
(7/201)",,,"HS-647- Literature, Theory, and Social Context.docx",Interest in literature and Lit theory,,,Counted towards HSS Elective and Minor
HS 650,Critical Perspectives in Anthropology,3,0,0,4,Nishaant Choksi(I),,,,"A1,A2
(7/201)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/nishaant_choksi_iitgn_ac_in/ESUeUJ2LCgtFvwR8eO3l0bsB2mwIvhy5jlwW9_d-8MxbXg?e=zPuTK0,,,,Counted towards HSS Elective and Minor
HS 652,"History, Concepts and Theories of Development",3,0,0,4,Aashish Xaxa(I),,,,"L1,L2
(7/201)",,,"History, Concepts and Theories of Development - Prof. Aashish Xaxa","Overview and Learning Outcomes: The course is intended to be a comprehensive introduction to
development studies for students. This course module is expected to serve four major purposes. First, it
will introduce and analyse the historical and philosophical emergence of development and capitalism
beginning in the 19th century until the Second World War. Secondly, it will introduce the writings of
major theorists in developmental thought. Thirdly it will engage with the areas of industrialisation,
urbanisation, environment, gender and political economy within the framework of development.
Fourthly it will introduce case studies from Latin America, Africa and Asia to give a critique of the
development discourse and explore methods of articulating a post-development discourse.",,,Counted towards HSS Elective and Minor
HS 653,"Academic Communication: Explanation and Paraphrasing
(First Half of the Semester)",3,0,0,2,Jooyoung Kim(I),,,,"M1,M2
(7/208)",,,,,,,Counted towards HSS Elective and Minor
HS 491-III,Special Topics in HSS: Storytelling for the Digital Era,3,0,0,4,Arnapurna Rath(I),,,,"P1,P2
(7/205)",,,,,,,Counted towards HSS Elective and Minor
HS 692-II,Special Topics in HSS: Sociology of Tribes,1.5,0,0,2,Aashish Xaxa(I),,,,"P1
(7/204)",,,Sociology of Tribes (HS 692-II) by Professor Aashish Xaxa,"Overview and learning: Conventional scholarship on tribal people in India has been distinctly bound to the colonial discourse on indigenous peoples. This discourse has remained largely unchanged in the post-colonial era. Much of this discourse is defined by a narrow and isolationist view of tribes. As a result, there is limited understanding of the dynamics of change in tribal societies. This course revisits this body of knowledge in the context of post-colonial India’s social dynamics, state policy, and socio-cultural developments. It delves into the sociological discourse of India’s indigenous peoples in terms of tribal movements, autonomy issues, protective discrimination, empowerment, and emerging development issues. It examines the politics of ethnicity, language, religion, and gender. The course will trace and analyse India’s multifaceted process of tribal society transformation over the last few decades. This course will be extremely beneficial to students working on tribal issues as well as those seeking a comprehensive introduction to tribal sociology through a nuanced analysis of contestations on various tribal issues. This course is intended as a Special Topics Course for PhD students, masters and advanced undergraduate students.",,,
DES 302,"Creativity, Design and Doing",3,0,0,4,Manasi Kanetkar(I),,,,"F1,F2
(7/209)",,,Course plan,Interest in creativity and working with materials; no prerequisite,,,
DES 303,Technopreneurship: Product Development + Business Strategy,2,0,3,4,Manikanta Polisetti(I),,,,"N1,N2
(7/203)",,"I1,K1
(7/106)",Link to course plan,A sound proposal of product solution with a medium fidelity working prototype,Activities,,
DES 602,Information Design for eLearning,3,0,0,4,"Sameer Sahasrabudhe(I), Aditi Kothiyal(I)",,,,"M1,M2
(10/101)",,,Course plan,,,,
DES 491,Special Topics in Design: Sustainable Design in Engineering with Human Factors,3,0,0,4,Anezka Sebek(I),,,,"J1,J2
(7/209)",,,Course plan,,,,
MS 204,"Business Communication 
(Second Half of the Semester)",3,0,0,2,Sharmita Lahiri(I),,,,"K1,K2
(7/201)",,,,,,,Counted towards HSS Elective and Minor
MS 492-I,"Special Topics in Management: Strategic Leadership
(First Half of the Semester)",3,0,0,2,Rajeev Sharma(I),,,,"I1,I2
(7/201)",,,Course Plan,,,,Counted towards HSS Elective and Minor
MS 306,Principles of Business Management,3,0,0,4,Abhijit Kothari(I),,,,"N1,N2
(7/205)",,,Course plan,,,,Counted towards HSS Elective and Minor
MS 410,Medical Products Industry: Quality and Regulations,3,0,0,2,Premalatha Chelvakumar(I),,,,"M1,M2
(10/102)",,,Course plan,,,,Counted towards HSS Elective and Minor
MS 491-VII,Special Topics in Management: Managing Sustainable Businesses,3,0,0,4,Prof. Anselm Schneider(I),,,,"G1
(7/102)
F2
(7/207)",,,Course plan ,,,,Counted towards HSS Elective and Minor
MS 492-II,Special Topics in Management: Business Risk Management,3,0,0,2,Prerna Wadikar(I),,,,"N1,P1
(7/103)",,,Course Plan,,,,Counted towards HSS Elective and Minor
MS 491-VIII,Special Topics in Management: Laboratory in Entrepreneurial Motivation,3,0,0,4,"Sunil Handa(I), Anand Pandey(I)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Biological Engineering,,,,,,,,,,,,,,,,,
BE 304,Introduction to Biomedical Engineering,3,0,0,4,Karla P. Mercado-Shekhar(I),,,,"D1,D2
(7/210)",,,Link to Course Plan,,,,
BE 403,Stem Cells: Science and Applications,3,0,0,4,Dhiraj Bhatia(I),,,,"M1,M2
(7/104)",,,https://docs.google.com/document/d/1LaFMGj7H0zX8wzPDVvAsVhgetpEDLgOT/edit?usp=sharing&ouid=114828150794801814953&rtpof=true&sd=true,,,,
BE 407,Introduction to Cell Biology,3,0,0,4,Subramanian Sankaranarayanan(I),,,,"J1,J2
(7/101)",,,Course Plan,,,,
BE 603,Biophysical Techniques,3,0,1,4,Vijay Thiruvenkatam(I+L),,,,"E1,E2
(7/106)",,"I1
(BE Lab)",,,,,
BE 605,Cellular Signaling,3,0,0,2,Sharmistha Majumdar(I),,,,"F1,F2
(7/201)",,,Course plan,,2nd half,,
BE 615,Bioinformatics and Computational Biology,1.5,0,3,4,Ashutosh Srivastava(I+L),,,,"H2
(7/106)",,"G1,G2
(7/108)",Course_details_BE615.pdf,,,,
BE 608,Molecular Basis of Neurodegenerative Diseases,3,0,0,4,Sharad Gupta(I),,,,"C1,C2
(10/101)",,,Course Plan,,,,
BE 616,Human Physiology,3,0,0,4,Umashankar Singh(I),,,,"B1,B2
(7/210)",,,Human Physiology Course Details,,,,
BE 617,Novel Drug Delivery Technologies: Fundamental Principles and Engineering,3,0,0,4,Mukesh Dhanka(I),,,,"A1,A2
(7/101)",,,BE Novel Drug Delivery Technologies.docx - Google Docs,,,,
BE 691-I,Special Topics in Biological Engineering: Analysis and Characterization of Biologicals,2,0,3,4,Sharad Gupta(I+L),,,,"D1,D2
(7/203)",,"J1,L1
(BE Lab)",Course Plan,,,,
BE 692,Special Topics in Biological Engineering: Animal Cell Culture Techniques,0,0,2,2,Sharmistha Majumdar(L),,,,,,"K2,L2
(BE Lab)",Course plan BE692,Molecular and Cellular Biology ,"Instructor's consent required, only 12 seats",,
,,,,,,,,,,,,,,,,,
Additional Courses: Cognitive Science,,,,,,,,,,,,,,,,,
CG 501,Computation and Cognition,3,0,0,4,Krishna Miyapuram(I),,,,"F1,F2
(7/202)",,,Computation and Cognition,,,,
CG 517,Introduction to Cognitive Linguistics,3,0,0,4,Jooyoung Kim(I),,,,"K1,K2
(7/206)",,,Course plan,,,,Counted towards HSS Elective and Minor
CG 591-I,Special Topics in Cognitive Science: Introduction to Cognitive Linguistics,3,0,0,4,Jooyoung Kim(I),,,,"K1,K2
(7/206)",,,,,,,
CG 604,"Phenomenology, Embodiment, and Consciousness",3,0,0,4,Angus Mcblane(I),,,,"E1,E2
(7/206)",,,Course Plan,,Begins week of Jan 08,,Counted towards HSS Elective and Minor
CG 605,Learning and Memory,3,0,0,4,Leslee Lazar(I),,,,"A1,A2
(7/106)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/leslee_lazar_iitgn_ac_in/Eeq4puN3-ndGnpD7eKCtCNcBNO1b-WGmnMWfQazSMTpToA?e=FicHY0,,,,Counted towards HSS Elective and Minor
CG 607,Emotion and Cognition,3,0,1,4,Meera Mary Sunny(I+L),,,,"D1,D2
(7/106)",,"I1
(7/205)",,,,,Counted towards HSS Elective and Minor
CG 608,Neuroscience of Decision Making,3,0,0,4,Krishna Miyapuram(I),,,,"G1,G2
(10/202)",,,Neuroscience of Decision making,,,,
CG 691-IV,Special Topics in Cognitive Science: Neurorehabilitation,3,0,0,4,Pratik Mutha(I),,,,"L1,L2
(7/202)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Computer Science and Engineering,,,,,,,,,,,,,,,,,
ES 335,Machine Learning,3,1,0,4,Nipun Batra(I+T),,,,"A1,A2
(10/103)","G2
(10/103)",,https://nipunbatra.github.io/ml2024/,,,AI,
ES 413,Deep Learning,3,1,0,4,Anirban Dasgupta(I),,,,"I1,I2
(7/103)","J1
(7/105)",,https://sites.google.com/iitgn.ac.in/es413/home,,,,
ES 417,5G and Beyond: An Introduction,3,0,0,4,"Sameer Kulkarni(I), Ravi Hegde(I)",,,,"I1,I2
(10/101)",,,https://docs.google.com/document/d/198eel1egMa8j4mvsq2Fbj9riGMKX8FGSA9CUFXo3Ryg/edit,,,,
CS 431,Computer and Network Security,3,0,0,4,Abhishek Bichawat(I),,,,"D1,D2
(7/205)",,,https://sites.google.com/iitgn.ac.in/cs431/home,,,,
CS 432,Databases,3,0,0,4,Mayank Singh(I),,,,"B1,B2
(10/103)",,,https://sites.google.com/iitgn.ac.in/cs432-2024/home,,,,
CS 434,Software Engineering and Testing,3,1,0,4,Shouvick Mondal(I+T),,,,"J1,J2
(7/208)","H1
(1/102)",,https://rb.gy/crz7z,,,,
CS 435,Human-Computer Interaction,3,0,0,4,Yogesh Meena(I),,,,"L1,L2
(7/208)",,,https://shorturl.at/fhzNR,,,,
CS 607,Combinatorics with Applications in Computer Science,3,0,0,4,Neeldhara Misra(I),,,,"K1,K2
(7/110)",,,Course Plan,,,,
CS 614,Advanced Algorithms,3,0,0,4,Manoj Gupta(I),,,,"D1,D2
(7/104)",,,Course Website,,,,
CS 616,Parallel and Distributed Systems,3,0,1.5,5,Sameer Kulkarni(I+T),,,,"J1,J2
(7/204)",,"K2
(7/204)",Course Plan,,,,
CS 691-XVI,Special Topics in Computer Science: User Studies for Privacy & Security,0,0,3,4,Abhishek Bichawat(L),,,,,,"K1,K2
(7/103)",,,,,
CS 691-XVII,Special Topics in Computer Science: Combinatorial and Computational Aspects of Games,3,0,0,4,"Neeldhara Misra(I),Jyothi Krishnan(I)",,,,"Saturday, 2pm to 5pm
(7/101)",,,Course Plan,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Electrical Engineering,,,,,,,,,,,,,,,,,
EE 311,Electromagnetic Waves,3,1,0,4,Soumyabrata Chakrabarty(I),,,,"K1,K2
(7/105)","P2
(7/103)",,Course Plan,,,,
ES 416,Space Science and Satellite Technology,3,0,0,4,Soumyabrata Chakrabarty(I),,,,"N1,N2
(7/104)",,,Course Plan,,,,
ES 608,Nanoscale Device Engineering,3,0,0,4,Ravi Hegde(I),,,,"N1,N2
(7/102)",,,ES 608 Nanoscale Device Engineering,,,,
EE 611,Restructured Power Systems: Operation and Management,3,0,0,4,Naran Pindoriya(I),,,,"P1,P2
(7/102)",,,Course Plan,,,,
ES 612,Artificial Intelligence,3,0,0,4,Uttama Lahiri(I),,,,"M1,M2
(7/110)",,,,,,,
EE 618,Microelectronics Lab,0,0,3,2,Tarun Agrawal(L),,,,,,"E2,G2
(EE Lab)",Course Plan,,,,
EE 619,Special Electrical Machines,3,0,0,4,Ragavan K(I),,,,"A1,A2
(7/102)",,,Course Plan,,,,
ES 626,Microfabrication and Semiconductor Processes,3,0,0,4,Sandip Lashkare(I),,,,"J1,J2
(7/106)",,,Course Plan,,,,
ES 641,Electronic Instrumentation,3,0,0,4,Uttama Lahiri(I),,,,"L1,L2
(7/103)",,,Course Plan and policies_ES641.pdf,,,Robotics,
EE 651,CMOS Analog IC Design,3,0,0,4,Nihar Mohapatra(I),,,,"E1,E2
(10/102)",,,,,,,
EE 652,IC Design Laboratory,0,0,3,2,Joycee Mekie(L),,,,,,"J2,M2
(7/108)",Course Plan,,,,
EE 653,Analog IC Design Lab,0,0,3,2,Madhav Pathak(L),,,,,,"L2,N2
(EE Lab)",,,,,
EE 654,Carrier Transport in Advanced Semiconductor Devices,3,0,0,4,Tarun Agrawal(I),,,,"P1,P2
(7/105)",,,https://sites.google.com/iitgn.ac.in/ee-654-2024/home,,,,
EE 655,Heterostructure Devices,3,0,0,4,Jhuma Saha(I),,,,"N1,N2
(7/105)",,,Course plan,,,,
ES 655,Medical Imaging Systems,3,0,0,4,Himanshu Shekhar(I),,,,"M1,M2
(7/201)",,,Course Plan,,,,
EE 657,VLSI System Design,3,0,0,4,Joycee Mekie(I),,,,"L1,L2
(7/102)",,,Course Plan,,,,
ES 665,Advanced Transportation Electrification Technology,3,0,0,4,Pallavi Bharadwaj(I),,,,"P1,P2
(7/110)",,,Course Plan,,,,
EE 691-V,Special Topics in Electrical Engineering: Regulation of Electric Sector,3,0,0,4,Anand Kumar(I),,,,"K1,K2
(7/104)",,,Copy of Course Plan-Regulation of Electricity Sector EE691 V.docx,,,,
EE 691-IX,"Special Topics in Electrical Engineering: Introduction to Compressed Sensing 
(First Quad of the Semester)",3,0,0,1,Nitin Myers(I),,,,"K1,K2
(7/102)",,,,,,,
EE 691-X,Special Topics in Electrical Engineering: Fundamentals of Semiconductor Package Manufacturing & Test,3,0,0,4,Tarun Kumar Agarwal(I),,,,"N1,N2
(1/102)
H1
(10/201)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Earth Sciences,,,,,,,,,,,,,,,,,
EH 304,"Drone Data Acquisition, Processing and Interpretation
(Second Half of the Semester)",1,0,2,2,Pankaj Khanna(I),,,,"A1,C1
(7/109)",,,,,,,BS
EH 602,"River Morphology and Ecology
(Science Basket)",3,0,0,4,Vikrant Jain(I),,,,"E1,E2
(7/105)",,,,,,,BS
EH 604,Quantitative Geomorphology,3,0,0,4,R. N. Singh(I),,,,"L1,L2
(7/101)",,,Link,,,,BS
EH 608,"Biodiversity Conservation and Sustainable Development
(Science Basket)",3,0,0,4,C. N. Pandey(I),,,,"G1,G2
(7/106)",,,EH 608- Course Plan.docx,,,,BS
EH 611,Near Surface Geophysics,3,0,0,4,Utsav Mannu(I),,,,"A1,A2
(7/210)",,,Link,,,,BS
EH 612,"Ocean and Global Change
(Science Basket)",3,0,0,4,Pankaj Khanna(I),,,,"H1,H2
(7/208)",,,https://drive.google.com/file/d/10OeY5Fi2YxP5KCEm2ag5XV3F_izdjStf/view?usp=sharing,,,,BS
EH 691-II,Special Topics in Earth Sciences: Atmospheric Physics,3,0,0,4,P. C. Pandey(I),,,,"D1,D2
(7/103)",,,,,,,BS
,,,,,,,,,,,,,,,,,
Additional Courses: Mechanical Engineering,,,,,,,,,,,,,,,,,
ME 321,Mechanics of Deformable Bodies,3,1,0,4,Ravi Ayyagari(I),,,,"D1,D2
(7/105)","H2
(7/102)",,Course Plan,,,,
ES 624,Non-Linear Elasticity,3,0,0,4,Ravi Ayyagari(I),,,,"F1,F2
(7/203)",,,,,,,
ME 628,Advanced Fluid Mechanics,3,1,0,4,Uddipta Ghosh(I),,,,"J1,J2
(7/207)","F1
(7/207)",,Course Plan. ,,,,
ES 642,Control of Nonlinear Dynamical Systems,3,0,0,4,Harish P. M.(I),,,,"F1,F2
(7/204)",,,,,,Robotics,
ME 643,Aircraft and Rocket Propulsion,3,0,0,4,Dilip Sundaram(I),,,,"P1,P2
(7/202)",,,Course Plan,,,,
ME 645,Convective Heat Transfer,3,0,1,4,Soumyadip Sett(I+L),,,,"N1,N2
(7/101)",,"I1
(7/206)",,,,,
ME 646,Introduction to Turbulence,3,0,0,4,Leonardo Chamorro(I),,,,"B1,B2
(7/105)",,,,,,,
ES 648,Nonlinear Dynamics and Vibrations,3,0,0,4,Jayaprakash K. R.(I),,,,"E1,E2
(7/201)",,,,,,,
ES 653,Nonlinear Continuum Mechanics,3,0,0,4,Harmeet Singh(I),,,,"A1,A2
(7/104)",,,course_plan,,,,
ES 656,Human-Robot Interaction,3,0,0,4,Vineet Vashista(I),,,,"B1,B2
(7/106)",,,Course Plan,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harini Subramanian(I),,,,"B1,B2
(7/207)",,,Course plan,,,,
ES 632,Energy Systems,3,0,0,4,Atul Bhargav(I),,,,"L1,L2
(7/106)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Materials Engineering,,,,,,,,,,,,,,,,,
MSE 355,Surface Engineering,3,0,0,4,Sriharitha Rowthu(I),,,,"P1,P2
(7/207)",,,,,,,
ES 415,Nature-inspired Materials Design,3,0,0,4,Raghavan Ranganathan(I),,,,"L1,L2
(7/110)",,,Course Plan,,,,
MSE 603,Thin Film Processing and Characterization,3,0,0,4,Emila Panda(I),,,,"A1,A2
(7/205)",,,,,,,
MSE 605,Biomaterials for Tissue Regeneration,3,0,0,4,Superb Misra(I),,,,"A1,A2
(7/110)",,,,,,,
MSE 621,Process Plant Design – How to Set Up a Process Industry,3,0,0,4,S. P. Mehrotra(I),,,,"M1,M2
(7/209)",,,Course Plan,,,,
