Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Minor in,HSS/BS elective
CL 221,Chemical Engineering Thermodynamics,3,1,0,4,Mithun Radhakrishna(I+T),,42,,"E1,E2
(7/107)","H1
(7/102)",,,,,
ES 311,Heat and Mass Transfer,3,1,0,4,"Soumyadip Sett(I+T),Biswajit Saha(T)",,92,,"B1,B2
(1/101)","F1
(7/209,7/107)",,,,,
CL 322,Chemical Reaction Engineering,3,1,0,4,Abinaya Sampath(I+T),,43,,"C1,C2
(7/107)","G1
(7/102)",,,,,
CL 351,Heat Transfer and Thermodynamics Lab,0,0,3,2,Biswajit Saha(L),,43,,,,"I1,K1
(CL Lab)",,,,
HS XXX,HSS Elective,,,,4,,,,,,,,,,,
,Basic Science Elective,,,,4,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,209,,,,,,,,
7th Sem Chemical Engineering,,,,,,,,,,,,,,,,
CL 425,Process Synthesis and Design,3,1,0,4,Hari Ganesh(I+T),,30,,"E1,E2
(7/106)","H1
(7/106)",,,,,
CL 451,Process Dynamics and Control Lab,0,0,3,2,Nitin Padhiyar(L),,29,,,,"J1,L1
(CL Lab)",,,,
HS XXX,HS Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,199,,,,,,,,
5th Sem Civil Engineering,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),TBD",,260,,"A1,A2
(1/103)","L2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201)",,,,,
BS 191,Matter and Energy Laboratory,0,0,4,4,"Saumyakanti Khatua(L),Sudhanshu Sharma(L)",,242,,,,"J1,L1,N1
(7/101,7/102,7/103,7/104,7/105,7/106)",,,,
CE 301,Soil Mechanics,3,1,2,5,"Amit Prashant(I+T),Ajanta Sachan(L)",,33,,"E1,E2
(7/207)","H1
(7/205)","I1,K1
(CE Lab)",,,,
CE 302,Structural Analysis,3,1,0,4,Gaurav Srivastava(I+T),,33,,"C1,C2
(7/101)","G1
(7/101)",,,,,
CE 303,Geospatial Engineering,1,0,3,3,Vimal Mishra(I+L),,32,,"B1
(5/203)",,"I2,M1
(5/202)",,,,
CE 308,Water Resource Engineering,2,0,3,4,Udit Bhatia(I+L),,32,,"F1,F2
(7/205)",,"J2,M2
(7/207)",,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,209,,,,,,,,
7th Sem Civil Engineering,,,,,,,,,,,,,,,,
CE 401,Comprehensive Project - 1,0,0,3,4,Dhiman Basu(L),,30,,,,"I1,K1
(7/203)",,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,199,,,,,,,,
5th Sem Computer Science and Engineering,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),TBD",,260,,"A1,A2
(1/103)","L2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201)",,,,,
BS 191,Matter and Energy Laboratory,0,0,4,4,"Saumyakanti Khatua(L),Sudhanshu Sharma(L)",,242,,,,"J1,L1,N1
(7/101,7/102,7/103,7/104,7/105,7/106)",,,,
CS 302,Theory of Computation,3,1,0,4,Bireswar Das(I+T),,71,,"E1,E2
(7/208)","H1
(7/208)",,,,,
CS 301,Operating Systems,3,0,1.5,5,"Rajat Moona(I),Abhishek Bichawat(L)",,93,,"C1,C2
(1/102)",,"N2
(7/108,7/109)",,,,
ES 331,Probability and Random Processes,3,1,0,4,Soumyabrata Chakrabarty(I+T),,88,,"B1,B2
(7/209)","F1
(7/208)",,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,209,,,,,,,,
7th Sem Computer Science and Engineering,,,,,,,,,,,,,,,,
CS 433,Computer Networks,3,1,0,4,Sameer Kulkarni(I+T),,73,,"D1,D2
(7/208)","G2
(7/108)",,,,,
,Open Elective,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,199,,,,,,,,
5th Sem  Electrical Engineering,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),TBD",,260,,"A1,A2
(1/103)","L2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201)",,,,,
