Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Minor in,HSS/BS elective
MA 623,Number Theory,3,0,0,4,Atul Dixit(I),,22,,"A1,A2
(7/207)",,,,,,
MA 624,Partial Differential Equations,3,0,0,4,Jagmohan Tyagi(I),,38,,"C1,C2
(7/207)",,,,,,
MA 626,Functional Analysis,3,0,0,4,Prof. Gadadhar Misra(I),,37,,"B1,B2
(7/201)",,,,,,
MA 627,Algebraic Topology,3,0,0,4,Sanjay Amrutiya(I),,10,,"D1,D2
(7/105)",,,,,,
MA 632,Applied Statistics,2,0,2,4,Tanya Srivastava(I+L),,40,,"P1,P2
(7/202)",,"H1
(7/108)",Course Plan,,,
MA 691-III,Special Topics in Mathematics: Conservation Laws and Nonlinear Waves,3,0,0,4,V D Sharma(I),,,,"G1,G2
(7/110)",,,Course Plan,,,
Additional courses PH,,,,,,,,,,,,,,,,
ES 410,Introduction to Inverse Modelling in Physical Sciences,3,0,0,4,Anand Sengupta(I),,5,,"I1,I2
(7/105)",,,,,,
PH 404,Molecular and Crystal Physics,3,0,0,4,Rupak Banerjee(I),,28,,"N1,N2
(7/205)",,,,,,
PH 502,Mathematical Methods of Physics - I,3,1,0,4,Ravinder Puri(I+T),,52,,"E1,E2
(1/103)","H1
(5/203)",,,,,
PH 503,Quantum Mechanics I,3,1,0,4,Arpan Bhattacharyya(I+T),,46,,"C1,C2
(7/203)","G1
(7/107)",,,,,
PH 505,Classical Electrodynamics,3,1,0,4,Rusa Mandal(I+T),,49,,"P1,P2
(7/204)","G2
(7/102)",,,,,
PH 508,Classical Mechanics,3,0,0,4,Sudipta Sarkar(I),,47,,"B1,B2
(7/102)",,,,,,
PH 510,Condensed Matter Physics,3,1,0,4,Chandan Kumar Mishra(I+T),,25,,"B1,B2
(5/202)","H1
(1/101)",,,,,
PH 605,Topics in Classical Mechanics and Electrodynamics,3,0,0,4,"Ravinder Puri(I),Vinod Chandra(I)",,8,,"M1,M2
(7/110)",,,,,,
PH 608,Tools of Theoretical Physics,3,0,0,4,Vinod Chandra(I),,7,,"C1,C2
(7/104)",,,,,,
PH 609,Introduction to Einstein’s Theory of General Relativity,3,1,0,4,Urjit Yajnik(I+T),,40,,"J1,J2
(7/107)","H1
(5/202)",,,,,
PH 610,Quantum Field Theory I,3,0,0,4,Baradhwaj Coleppa(I),,12,,"F1,F2
(7/106)",,,,,,
PH 614,Atomic and Molecular Physics,3,0,0,4,Krishnakanti Dey(I),,30,,"P1,P2
(7/205)",,,,,,
PH 616,Quantum Optics,3,0,0,4,Prasanna Venkatesh(I),,40,,"L1,L2
(7/202)",,,,,,
PH 646,Advanced Statistical Physics,3,0,0,4,Sutapa Roy(I),,8,,"D1,D2
(7/103)",,,,,,
PH 648,Semiconductor Optoelectronics,3,0,0,4,Krista Khiangte(I),,8,,"K1,K2
(7/106)",,,,,,
Additional Course EH,,,,,,,,,,,,,,,,
EH 601 (N),Earth Surface Processes in the Anthropocene,3,0,1.5,4,Vikrant Jain(I+L),,,,"P1,P2
(7/206)",,"N2
(7/101)",,,,
EH 605,Modeling of Earth System and Sustainability,3,0,0,4,R. N. Singh(I),,7,,"L1,L2
(5/202)",,,,,,
EH 608,Biodiversity Conservation and Sustainable Development,3,0,0,4,C. N. Pandey(I),,40,,"N1,N2
(7/206)",,,,,,
EH 614,Physics of the Lithosphere,3,0,0,4,Utsav Mannu(I),,40,,"M1,M2
(7/204)",,,,,,
EH 616,Materials of Earth’s Deep Interior,3,0,0,4,Rajkrishna Dutta(I),,40,,"J1,J2
(7/202)",,,,,,
EH 691-III,Special Topics in Earth Science: Microwave Remote Sensing,3,0,0,4,P. C. Pandey(I),,6,,"K1,K2
(7/110)",,,,,,
EH 691-IX,Special Topics in Earth Sciences: Monsoon Dynamics,3,0,0,4,Parthasarathi Mukopadhyay(I),,8,,"P1,P2
(7/106)",,,,,,
Additional Courses CG,,,,,,,,,,,,,,,,
CG 503,Fundamentals of Cognitive Psychology,3,0,0,4,Meera Mary Sunny(I),,20,,"A1,A2
(7/202)",,,,,,
CG 504,Research Methods in Cognitive Science,1.5,0,1.5,4,Pratik Mutha(I+L),,17,,"D1
(7/201)",,"D2
(7/201)",,,,
CG 505,Fundamental Neuroscience,3,0,0,4,Leslee Lazar(I),,24,,"C1,C2
(7/201)",,,,,,
CG 506,Experimental Techniques in Cognitive Science,1.5,0,1.5,4,"Krishna Miyapuram(I+L),Uttama Lahiri(I+L)",,,,"F1
(7/202)",,"F2
(7/202)",,,,
CG 591-III,"Special Topics in Cognitive Science: Consumer Behaviour*
(Subject to Approval)",3,0,0,4,Marcos Severo(I),,,,"N1,N2
(Online)",,,,,,
CG 606,Philosophy of Mind,3,0,0,4,Jaison Manjaly(I),,40,,"B1,B2
(7/205)",,,,,,
"Additional Courses Design, HSS, Management",,,,,,,,,,,,,,,,
FP 602,Writing,1,0,3,4,"Sharmita Lahiri(I+L),Leslee Lazar(L),Monal Desai(L),Nivid Desai(L),Devapreeta Jena(L),GTF(L)",,233,,"E1
(Jasubhai Auditorium)",,"G1,G2
(7/204,7/205,7/206,7/202,7/203,5/202)",,,,
HS 111,Urdu Script and Poetry,3,1,0,4,Mohd. Mubashshir(I+T),,32,,"N1,N2
(7/207)","J2
(7/105)",,,,,
HS 112,Urdu Poetry Interpretation,3,1,0,4,Mohd. Mubashshir(I+T),,38,,"K1,K2
(7/201)","J1
(7/203)",,,,,
DES 201,Technopreneurship: Product Proposition,2,0,3,4,"Uttama Lahiri(I+L), Manasi Kanetkar(I+L)",,,,"M1,M2
(5/203)",,,,,,
MS 403,Engineering Entrepreneurship,3,0,0,4,Raj Jaswa(I),,,,"J1,J2
(Online)",,"L2,N2
(7/102)",,,,
MS 404,Neuromarketing,3,0,0,2,Krishna Miyapuram(I),,,,"H1,H2
(7/206)",,,,,,
HS 425,Introduction to Archaeology,3,0,0,4,Sharada CV(I),,32,,"P1,P2
(7/110)",,,,,,
MS 491,Special topics in Management: Marketing Analytics,3,0,0,4,Marcos Severo(I),,,,"M1,M2
(Online)",,,,,,
MS 491-VI,Special Topics in Management: Entrepreneurship and New Ventures,3,0,0,4,Rajiv Joshi(I),,,,"K2,J2
(7/203)",,,,,,
HS 491-XI,Understanding and Designing Comics and Graphic Novel,3,0,0,4,Argha Manna(I),,40,,"I1,I2
(7/201)",,,,,,
HS 492-III,Special Topics in HSS: Anthropology in the 21st Century,3,0,0,2,Rosa Perez(I),,9,,"M1,M2
(7/205)",,,,,,
HS 510,Perspectives on Indian Civilization,3,0,0,4,Alok Kumar Kanungo(I),,39,,"C1,C2
(7/205)",,,,,,
HS 519,Linguistic Anthropology,3,0,0,4,Nishaant Choksi(I),,21,,"J1,J2
(7/209)",,,,,,
HS 520,Ancient Indian Architecture,3,0,0,4,V N Prabhakar(I),,38,,"L1,L2
(7/203)",,,Course Plan,,,
HS 591-I,Special Topics in HSS: World Englishes,3,0,0,4,Jooyoung Kim(I),,7,,"K1,K2
(7/204)",,,,,,
HS 610,A Critical Journey Through Select Thoughts and Theories,3,0,0,4,Arnapurna Rath(I),,,,"P1,P2
(7/201)",,,,,,
HS 645,"History of India, 1930-1964",3,0,0,4,Madhumita Sengupta(I),,23,,"I1,I2
(7/204)",,,,,,
HS 691-I,"Special Topics in HSS: Haunting, Spectrality and Cinema",3,0,0,4,Arka Chattopadhyay(I),,40,,"N1,N2
(7/107)",,,,,,
IN 304,Ancient Indian Technology,3,1,0,4,Alok Kumar Kanungo(I+T),,24,,"M1,M2
(7/206)","J1
(5/202)",,,,,
